family,n_qubits,depth,seed,angle_regime,method,chi_max,tdvp_sweeps,svd_threshold,lanczos_tol,reference_type,reference_available,reference_chi,reference_sweeps,wall_time_s,peak_bond_dim,mean_bond_dim,final_max_bond_dim,num_truncations,hit_chi_max,norm_error_or_norm_drift,fidelity_to_reference,infidelity_to_reference,fidelity_direct,fidelity_bit_reversed,observable_error_direct,observable_error_bit_reversed,reference_convention_used,mean_abs_observable_error,max_abs_observable_error,rms_observable_error,energy_error,status,error_message,case_id,num_swaps_inserted,tdvp_lr_count,enriched_lr_count,total_gates,nn_gate_count,lr_gate_count,tebd_direct_gate_count,tebd_swap_gate_count,tdvp_lr_gate_count,skipped_or_exact_lr_gate_count,lr_gate_pairs,mean_abs_error_z_single,max_abs_error_z_single,mean_abs_error_x_single,max_abs_error_x_single,mean_abs_error_y_single,max_abs_error_y_single,mean_abs_error_zz_nn,max_abs_error_zz_nn,mean_abs_error_zz_lr,max_abs_error_zz_lr,fidelity_observable_consistency_warning,tdvp_padding_dim,tdvp_padding_noise,padding_applied,padded_bonds_count,max_bond_dim_before_padding,max_bond_dim_after_padding,mean_bond_dim_after_padding,peak_bond_dim_before_first_lr,peak_bond_dim_after_first_lr,sweep_scan_enabled,lattice_shape,depth_or_cycles,J_over_pi
nn_brickwork,8,4,0,small,tdvp_all,8,1,1e-10,1e-08,exact_statevector,True,,,0.2687850000220351,6,4.285714285714286,6,0,False,,0.9999999998425584,1.5744161530051315e-10,0.9999999998425584,0.9928444875527004,1.1756925228593312e-06,0.022656569329276628,direct,4.586163132317488e-08,1.1756925228593312e-06,1.9111289849005425e-07,,ok,,nn_brickwork_n8_d4_s0_small,0,28,0,28,28,0,0,0,28,0,[],1.8658035186303046e-15,3.1884217488453714e-15,1.8530215695200525e-09,3.5572212953027815e-09,2.3353714795337766e-16,4.0679265511656126e-16,2.2745513271347655e-07,1.1756925228593312e-06,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,0,small,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.015336300013586879,8,4.857142857142857,8,0,False,,0.9999999999758102,2.4189761305137836e-11,0.9999999999758102,0.9928444735211979,9.087066187157822e-07,0.022656567413523357,direct,2.649643201775043e-08,9.087066187157822e-07,1.4022328850730022e-07,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],2.78314697677029e-16,7.771561172376096e-16,9.637294573483501e-10,1.8895816022990175e-09,3.5930459996169617e-16,4.202367620553815e-16,1.315184296344799e-07,9.087066187157822e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,0,small,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.2575475000194274,6,4.285714285714286,6,0,False,,0.9999999998425584,1.5744161530051315e-10,0.9999999998425584,0.9928444875527004,1.1756925228593312e-06,0.022656569329276628,direct,4.586163132317488e-08,1.1756925228593312e-06,1.9111289849005425e-07,,ok,,nn_brickwork_n8_d4_s0_small,0,28,0,28,28,0,0,0,28,0,[],1.8658035186303046e-15,3.1884217488453714e-15,1.8530215695200525e-09,3.5572212953027815e-09,2.3353714795337766e-16,4.0679265511656126e-16,2.2745513271347655e-07,1.1756925228593312e-06,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,0,small,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.022227800043765455,8,4.857142857142857,8,0,False,,0.9999999999758102,2.4189761305137836e-11,0.9999999999758102,0.9928444735211979,9.087066187157822e-07,0.022656567413523357,direct,2.649643201775043e-08,9.087066187157822e-07,1.4022328850730022e-07,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],2.78314697677029e-16,7.771561172376096e-16,9.637294573483501e-10,1.8895816022990175e-09,3.5930459996169617e-16,4.202367620553815e-16,1.315184296344799e-07,9.087066187157822e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,0,small,tdvp_all,32,1,1e-10,1e-08,exact_statevector,True,,,0.2581353000132367,6,4.285714285714286,6,0,False,,0.9999999998425584,1.5744161530051315e-10,0.9999999998425584,0.9928444875527004,1.1756925228593312e-06,0.022656569329276628,direct,4.586163132317488e-08,1.1756925228593312e-06,1.9111289849005425e-07,,ok,,nn_brickwork_n8_d4_s0_small,0,28,0,28,28,0,0,0,28,0,[],1.8658035186303046e-15,3.1884217488453714e-15,1.8530215695200525e-09,3.5572212953027815e-09,2.3353714795337766e-16,4.0679265511656126e-16,2.2745513271347655e-07,1.1756925228593312e-06,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,1,small,tebd_nn,8,1,1e-10,1e-08,exact_statevector,True,,,0.01852759998291731,8,4.714285714285714,8,0,True,,0.9999999999532414,4.675859699432294e-11,0.9999999999532414,0.9810461373924767,4.229330922258037e-07,0.021492366798957115,direct,2.097219391516653e-08,4.229330922258037e-07,7.901656371649289e-08,,ok,,nn_brickwork_n8_d4_s1_small,0,0,0,28,28,0,28,0,0,0,[],5.962569847584032e-16,1.4849232954361469e-15,1.6676366121348707e-09,1.8798105294592915e-09,4.014800644713823e-16,1.0417014473240727e-15,1.0319333156448066e-07,4.229330922258037e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,1,small,tdvp_all,8,1,1e-10,1e-08,exact_statevector,True,,,0.3127867999719456,6,4.285714285714286,6,0,False,,0.9999999997073759,2.926241471357116e-10,0.9999999997073759,0.9810461613748214,4.167089172482999e-07,0.021492332845520448,direct,2.396209784713034e-08,4.167089172482999e-07,8.069465650137404e-08,,ok,,nn_brickwork_n8_d4_s1_small,0,28,0,28,28,0,0,0,28,0,[],3.0893256702801963e-15,1.2038980923279041e-14,2.3480558053456946e-09,3.911166057690707e-09,2.9709307930447793e-15,1.0228363295228249e-14,1.1746242439911875e-07,4.167089172482999e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,1,small,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.09309519996168092,8,4.714285714285714,8,0,False,,0.9999999999532414,4.675859699432294e-11,0.9999999999532414,0.9810461373924767,4.229330922258037e-07,0.021492366798957115,direct,2.097219391516653e-08,4.229330922258037e-07,7.901656371649289e-08,,ok,,nn_brickwork_n8_d4_s1_small,0,0,0,28,28,0,28,0,0,0,[],5.962569847584032e-16,1.4849232954361469e-15,1.6676366121348707e-09,1.8798105294592915e-09,4.014800644713823e-16,1.0417014473240727e-15,1.0319333156448066e-07,4.229330922258037e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,1,small,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.241677800018806,6,4.285714285714286,6,0,False,,0.9999999997073759,2.926241471357116e-10,0.9999999997073759,0.9810461613748214,4.167089172482999e-07,0.021492332845520448,direct,2.396209784713034e-08,4.167089172482999e-07,8.069465650137404e-08,,ok,,nn_brickwork_n8_d4_s1_small,0,28,0,28,28,0,0,0,28,0,[],3.0893256702801963e-15,1.2038980923279041e-14,2.3480558053456946e-09,3.911166057690707e-09,2.9709307930447793e-15,1.0228363295228249e-14,1.1746242439911875e-07,4.167089172482999e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,1,small,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.014791499997954816,8,4.714285714285714,8,0,False,,0.9999999999532414,4.675859699432294e-11,0.9999999999532414,0.9810461373924767,4.229330922258037e-07,0.021492366798957115,direct,2.097219391516653e-08,4.229330922258037e-07,7.901656371649289e-08,,ok,,nn_brickwork_n8_d4_s1_small,0,0,0,28,28,0,28,0,0,0,[],5.962569847584032e-16,1.4849232954361469e-15,1.6676366121348707e-09,1.8798105294592915e-09,4.014800644713823e-16,1.0417014473240727e-15,1.0319333156448066e-07,4.229330922258037e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,1,small,tdvp_all,32,1,1e-10,1e-08,exact_statevector,True,,,0.23859119997359812,6,4.285714285714286,6,0,False,,0.9999999997073759,2.926241471357116e-10,0.9999999997073759,0.9810461613748214,4.167089172482999e-07,0.021492332845520448,direct,2.396209784713034e-08,4.167089172482999e-07,8.069465650137404e-08,,ok,,nn_brickwork_n8_d4_s1_small,0,28,0,28,28,0,0,0,28,0,[],3.0893256702801963e-15,1.2038980923279041e-14,2.3480558053456946e-09,3.911166057690707e-09,2.9709307930447793e-15,1.0228363295228249e-14,1.1746242439911875e-07,4.167089172482999e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,10,2,0,small,tebd_nn,8,1,1e-10,1e-08,exact_statevector,True,,,0.010985100001562387,2,2.0,2,0,False,,1.0,0.0,1.0,0.9948222292959935,3.6637359812630166e-15,0.014012583650528265,direct,7.409936379765282e-16,3.6637359812630166e-15,1.2823197010440447e-15,,ok,,nn_brickwork_n10_d2_s0_small,0,0,0,18,18,0,18,0,0,0,[],2.9813391339006403e-16,5.993469609499869e-16,3.0808688933348094e-15,3.6637359812630166e-15,4.33138767907959e-17,1.18774347995787e-16,2.393376295761751e-16,5.698566618583811e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,0,small,tdvp_all,8,1,1e-10,1e-08,exact_statevector,True,,,0.12942690000636503,3,2.111111111111111,3,0,False,,0.9999999999999942,5.773159728050814e-15,0.9999999999999942,0.9948222292959826,7.882583474838611e-15,0.014012583650538257,direct,1.94001390473042e-15,7.882583474838611e-15,3.052618839615646e-15,,ok,,nn_brickwork_n10_d2_s0_small,0,18,0,18,18,0,0,0,18,0,[],9.764433185621702e-16,1.704365815147213e-15,7.299716386910404e-15,7.882583474838611e-15,3.10623922417097e-16,7.107487341728724e-16,8.026619733453311e-16,1.6134012528756791e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,0,small,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.023407400003634393,2,2.0,2,0,False,,1.0,0.0,1.0,0.9948222292959935,3.6637359812630166e-15,0.014012583650528265,direct,7.409936379765282e-16,3.6637359812630166e-15,1.2823197010440447e-15,,ok,,nn_brickwork_n10_d2_s0_small,0,0,0,18,18,0,18,0,0,0,[],2.9813391339006403e-16,5.993469609499869e-16,3.0808688933348094e-15,3.6637359812630166e-15,4.33138767907959e-17,1.18774347995787e-16,2.393376295761751e-16,5.698566618583811e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,0,small,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.11190299998270348,3,2.111111111111111,3,0,False,,0.9999999999999942,5.773159728050814e-15,0.9999999999999942,0.9948222292959826,7.882583474838611e-15,0.014012583650538257,direct,1.94001390473042e-15,7.882583474838611e-15,3.052618839615646e-15,,ok,,nn_brickwork_n10_d2_s0_small,0,18,0,18,18,0,0,0,18,0,[],9.764433185621702e-16,1.704365815147213e-15,7.299716386910404e-15,7.882583474838611e-15,3.10623922417097e-16,7.107487341728724e-16,8.026619733453311e-16,1.6134012528756791e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,0,small,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.05410549999214709,2,2.0,2,0,False,,1.0,0.0,1.0,0.9948222292959935,3.6637359812630166e-15,0.014012583650528265,direct,7.409936379765282e-16,3.6637359812630166e-15,1.2823197010440447e-15,,ok,,nn_brickwork_n10_d2_s0_small,0,0,0,18,18,0,18,0,0,0,[],2.9813391339006403e-16,5.993469609499869e-16,3.0808688933348094e-15,3.6637359812630166e-15,4.33138767907959e-17,1.18774347995787e-16,2.393376295761751e-16,5.698566618583811e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,0,small,tdvp_all,32,1,1e-10,1e-08,exact_statevector,True,,,0.17911690002074465,3,2.111111111111111,3,0,False,,0.9999999999999942,5.773159728050814e-15,0.9999999999999942,0.9948222292959826,7.882583474838611e-15,0.014012583650538257,direct,1.94001390473042e-15,7.882583474838611e-15,3.052618839615646e-15,,ok,,nn_brickwork_n10_d2_s0_small,0,18,0,18,18,0,0,0,18,0,[],9.764433185621702e-16,1.704365815147213e-15,7.299716386910404e-15,7.882583474838611e-15,3.10623922417097e-16,7.107487341728724e-16,8.026619733453311e-16,1.6134012528756791e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,1,small,tebd_nn,8,1,1e-10,1e-08,exact_statevector,True,,,0.056128300027921796,4,2.2222222222222223,4,0,False,,0.9999999999999971,2.886579864025407e-15,0.9999999999999971,0.9961914800810562,6.5503158452884236e-15,0.013056311232920281,direct,1.0513660254896084e-15,6.5503158452884236e-15,1.953250399379098e-15,,ok,,nn_brickwork_n10_d2_s1_small,0,0,0,18,18,0,18,0,0,0,[],2.0780903040029664e-16,6.435824095873954e-16,4.6351811278100286e-15,6.5503158452884236e-15,1.1244531781390288e-16,2.4931228956304174e-16,1.8894933360991129e-16,3.608224830031759e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,1,small,tdvp_all,8,1,1e-10,1e-08,exact_statevector,True,,,0.10132810001960024,4,2.3333333333333335,4,0,False,,0.9999999999999942,5.773159728050814e-15,0.9999999999999942,0.9961914800810531,8.992806499463768e-15,0.013056311232917839,direct,1.907202694384491e-15,8.992806499463768e-15,3.1171045331987435e-15,,ok,,nn_brickwork_n10_d2_s1_small,0,18,0,18,18,0,0,0,18,0,[],6.073917410698293e-16,1.9012569296705806e-15,7.466249840604178e-15,8.992806499463768e-15,4.600540868399117e-16,8.629707191898373e-16,5.42263716568625e-16,1.3611074073383023e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,1,small,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.041258899960666895,4,2.2222222222222223,4,0,False,,0.9999999999999971,2.886579864025407e-15,0.9999999999999971,0.9961914800810562,6.5503158452884236e-15,0.013056311232920281,direct,1.0513660254896084e-15,6.5503158452884236e-15,1.953250399379098e-15,,ok,,nn_brickwork_n10_d2_s1_small,0,0,0,18,18,0,18,0,0,0,[],2.0780903040029664e-16,6.435824095873954e-16,4.6351811278100286e-15,6.5503158452884236e-15,1.1244531781390288e-16,2.4931228956304174e-16,1.8894933360991129e-16,3.608224830031759e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,1,small,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.15886600001249462,4,2.3333333333333335,4,0,False,,0.9999999999999942,5.773159728050814e-15,0.9999999999999942,0.9961914800810531,8.992806499463768e-15,0.013056311232917839,direct,1.907202694384491e-15,8.992806499463768e-15,3.1171045331987435e-15,,ok,,nn_brickwork_n10_d2_s1_small,0,18,0,18,18,0,0,0,18,0,[],6.073917410698293e-16,1.9012569296705806e-15,7.466249840604178e-15,8.992806499463768e-15,4.600540868399117e-16,8.629707191898373e-16,5.42263716568625e-16,1.3611074073383023e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,1,small,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.04207570001017302,4,2.2222222222222223,4,0,False,,0.9999999999999971,2.886579864025407e-15,0.9999999999999971,0.9961914800810562,6.5503158452884236e-15,0.013056311232920281,direct,1.0513660254896084e-15,6.5503158452884236e-15,1.953250399379098e-15,,ok,,nn_brickwork_n10_d2_s1_small,0,0,0,18,18,0,18,0,0,0,[],2.0780903040029664e-16,6.435824095873954e-16,4.6351811278100286e-15,6.5503158452884236e-15,1.1244531781390288e-16,2.4931228956304174e-16,1.8894933360991129e-16,3.608224830031759e-16,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,10,2,1,small,tdvp_all,32,1,1e-10,1e-08,exact_statevector,True,,,0.16936560004251078,4,2.3333333333333335,4,0,False,,0.9999999999999942,5.773159728050814e-15,0.9999999999999942,0.9961914800810531,8.992806499463768e-15,0.013056311232917839,direct,1.907202694384491e-15,8.992806499463768e-15,3.1171045331987435e-15,,ok,,nn_brickwork_n10_d2_s1_small,0,18,0,18,18,0,0,0,18,0,[],6.073917410698293e-16,1.9012569296705806e-15,7.466249840604178e-15,8.992806499463768e-15,4.600540868399117e-16,8.629707191898373e-16,5.42263716568625e-16,1.3611074073383023e-15,0.0,0.0,,,0.0,False,0,,,,,,False,,2,
nn_brickwork,8,4,0,small,tebd_nn,8,1,1e-10,1e-08,exact_statevector,True,,,0.023560399946291,7,4.428571428571429,7,0,False,,0.9999999999469464,5.305356154394758e-11,0.9999999999469464,0.9976941735673428,5.586743044259934e-07,0.01870495126257309,direct,2.4749593832029803e-08,5.586743044259934e-07,9.362088206515214e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],5.099002817199327e-16,1.5664552988070568e-15,1.0424441865275469e-09,2.228225937095374e-09,3.2829641782861074e-16,6.735063895479954e-16,1.2270552380712836e-07,5.586743044259934e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
nn_brickwork,8,4,0,small,tdvp_all,8,1,1e-10,1e-08,exact_statevector,True,,,0.17839290003757924,6,4.285714285714286,6,0,False,,0.9999999993488637,6.511362560246425e-10,0.9999999993488637,0.9976941748321705,4.969501138994518e-07,0.018704948047105298,direct,2.8296305498852297e-08,4.969501138994518e-07,1.0697848349828242e-07,,ok,,nn_brickwork_n8_d4_s0_small,0,28,0,28,28,0,0,0,28,0,[],1.578110472161276e-15,5.6968318951078345e-15,7.812033797627294e-10,1.7810047880928437e-09,1.8874875620800147e-15,6.7953455362701476e-15,1.4070031876141316e-07,4.969501138994518e-07,0.0,0.0,,,0.0,False,0,,,,,,False,,4,
